name,sku,category,length_cm,width_cm,height_cm,weight_kg,monthly_order_volume
Monitor 0726,ELE-0726,Electronics,67.9,47.9,8.2,5.77,43
Monitor 0727,ELE-0727,Electronics,59.1,34.1,8.0,3.0,185
Keyboard 0728,ELE-0728,Electronics,49.7,16.6,2.1,1.07,85
Magazine 0729,BOO-0729,Books,29.8,26.7,1.0,0.31,48
Socks 0730,CLO-0730,Clothing,15.6,14.8,3.5,0.14,412
Action Figure 0731,TOY-0731,Toys,15.2,14.6,7.1,0.24,88
Phone Case 0732,ELE-0732,Electronics,19.9,11.1,1.0,0.08,55
USB Cable 0733,ELE-0733,Electronics,22.3,10.2,3.6,0.18,171
Puzzle 0734,TOY-0734,Toys,34.2,27.4,3.1,0.95,44
SSD Drive 0735,ELE-0735,Electronics,14.7,9.9,1.3,0.13,193
Keyboard 0736,ELE-0736,Electronics,40.1,17.5,3.9,0.72,85
Jacket 0737,CLO-0737,Clothing,53.8,40.7,5.6,1.15,55
Mouse 0738,ELE-0738,Electronics,13.2,8.3,4.6,0.17,234
Picture Frame 0739,FRA-0739,Fragile,37.7,18.0,3.8,1.0,111
Shoes 0740,CLO-0740,Clothing,33.5,19.6,12.4,0.78,50
T-Shirt 0741,CLO-0741,Clothing,32.1,26.0,4.0,0.19,117
Glass Vase 0742,FRA-0742,Fragile,19.7,23.2,31.2,0.77,43
SSD Drive 0743,ELE-0743,Electronics,10.8,7.9,1.4,0.13,100
Keyboard 0744,ELE-0744,Electronics,40.9,14.3,3.1,0.63,101
Phone Case 0745,ELE-0745,Electronics,17.8,8.9,1.1,0.08,426
Glass Vase 0746,FRA-0746,Fragile,15.9,18.7,24.5,0.9,80
Jeans 0747,CLO-0747,Clothing,39.2,26.0,3.1,0.79,88
Puzzle 0748,TOY-0748,Toys,40.7,26.9,5.1,0.91,114
Hardcover Book 0749,BOO-0749,Books,21.6,20.7,4.3,1.41,50
Monitor 0750,ELE-0750,Electronics,65.6,33.6,8.5,5.48,115
Monitor 0751,ELE-0751,Electronics,68.6,33.8,8.9,6.64,43
Action Figure 0752,TOY-0752,Toys,23.3,15.6,5.2,0.2,43
T-Shirt 0753,CLO-0753,Clothing,30.9,23.0,3.5,0.29,57
Phone Case 0754,ELE-0754,Electronics,16.3,8.3,1.0,0.1,107
Mouse 0755,ELE-0755,Electronics,12.8,6.7,4.5,0.11,99
T-Shirt 0756,CLO-0756,Clothing,25.8,22.6,2.4,0.28,49
Phone Case 0757,ELE-0757,Electronics,19.1,10.4,1.1,0.13,168
Stuffed Animal 0758,TOY-0758,Toys,38.1,26.5,28.6,0.51,49
Shoes 0759,CLO-0759,Clothing,34.1,19.7,14.4,0.62,109
Phone Case 0760,ELE-0760,Electronics,19.4,10.9,1.0,0.12,103
Stuffed Animal 0761,TOY-0761,Toys,29.8,28.8,28.0,0.65,175
Stuffed Animal 0762,TOY-0762,Toys,36.3,27.1,21.8,0.72,229
Stuffed Animal 0763,TOY-0763,Toys,20.3,19.6,17.5,0.48,105
T-Shirt 0764,CLO-0764,Clothing,30.5,22.4,4.4,0.16,51
USB Cable 0765,ELE-0765,Electronics,15.6,10.5,2.3,0.27,98
Textbook 0766,BOO-0766,Books,29.7,27.6,5.7,1.17,119
Jacket 0767,CLO-0767,Clothing,50.6,48.8,5.5,0.71,85
Keyboard 0768,ELE-0768,Electronics,49.8,17.8,3.0,0.73,175
Action Figure 0769,TOY-0769,Toys,18.1,15.9,8.9,0.26,523
Picture Frame 0770,FRA-0770,Fragile,31.9,21.8,4.9,1.1,103
Shoes 0771,CLO-0771,Clothing,26.6,22.3,12.1,0.72,976
Headphones 0772,ELE-0772,Electronics,18.4,15.7,8.6,0.21,99
Hardcover Book 0773,BOO-0773,Books,22.0,21.6,4.4,0.63,117
Stuffed Animal 0774,TOY-0774,Toys,24.5,15.2,20.0,0.52,211
Picture Frame 0775,FRA-0775,Fragile,38.5,28.5,3.7,1.42,214
Phone Case 0776,ELE-0776,Electronics,19.2,10.9,1.3,0.14,170
Picture Frame 0777,FRA-0777,Fragile,39.7,28.7,4.7,1.47,240
Phone Case 0778,ELE-0778,Electronics,17.1,8.4,1.6,0.09,40
Power Bank 0779,ELE-0779,Electronics,17.2,8.9,3.8,0.37,84
Mouse 0780,ELE-0780,Electronics,14.6,8.2,5.0,0.11,224
Action Figure 0781,TOY-0781,Toys,23.0,12.2,6.4,0.25,120
Monitor 0782,ELE-0782,Electronics,68.0,44.8,7.3,5.3,87
Glass Vase 0783,FRA-0783,Fragile,20.1,24.9,21.6,1.0,227
Board Game 0784,TOY-0784,Toys,30.5,34.6,8.5,0.77,106
Action Figure 0785,TOY-0785,Toys,19.6,11.7,6.6,0.28,188
T-Shirt 0786,CLO-0786,Clothing,28.2,27.8,3.4,0.28,57
Stuffed Animal 0787,TOY-0787,Toys,28.4,18.6,15.3,0.57,80
Action Figure 0788,TOY-0788,Toys,16.2,16.9,6.7,0.23,81
Headphones 0789,ELE-0789,Electronics,19.6,20.3,8.5,0.39,58
Jeans 0790,CLO-0790,Clothing,32.2,29.3,3.8,0.73,409
Magazine 0791,BOO-0791,Books,34.3,20.2,0.6,0.33,83
Glass Vase 0792,FRA-0792,Fragile,15.4,21.4,22.3,1.32,40
Keyboard 0793,ELE-0793,Electronics,40.1,17.7,2.7,1.13,104
Action Figure 0794,TOY-0794,Toys,17.1,13.5,6.2,0.21,103
Magazine 0795,BOO-0795,Books,34.2,22.4,0.7,0.24,117
Socks 0796,CLO-0796,Clothing,23.4,11.5,2.9,0.09,58
Webcam 0797,ELE-0797,Electronics,11.7,6.1,6.3,0.23,108
Puzzle 0798,TOY-0798,Toys,35.7,33.5,5.7,0.63,45
Magazine 0799,BOO-0799,Books,34.7,21.8,0.5,0.31,509
Board Game 0800,TOY-0800,Toys,33.3,27.3,6.1,0.81,41
Phone Case 0801,ELE-0801,Electronics,16.8,10.6,1.1,0.07,40
Puzzle 0802,TOY-0802,Toys,36.9,22.5,4.9,0.69,87
Laptop 0803,ELE-0803,Electronics,38.6,23.4,3.0,1.95,44
Shoes 0804,CLO-0804,Clothing,29.2,16.2,11.8,0.54,85
Shoes 0805,CLO-0805,Clothing,25.5,18.9,14.6,0.86,240
Mouse 0806,ELE-0806,Electronics,13.0,8.4,3.7,0.27,83
Power Bank 0807,ELE-0807,Electronics,15.4,6.1,3.9,0.38,56
Board Game 0808,TOY-0808,Toys,39.5,29.7,6.1,1.23,187
Mouse 0809,ELE-0809,Electronics,10.9,6.8,3.8,0.18,105
Power Bank 0810,ELE-0810,Electronics,15.9,9.5,3.6,0.42,56
Webcam 0811,ELE-0811,Electronics,8.4,5.3,5.1,0.48,97
Shoes 0812,CLO-0812,Clothing,26.8,17.1,11.1,0.99,117
T-Shirt 0813,CLO-0813,Clothing,30.8,26.6,3.6,0.28,41
Textbook 0814,BOO-0814,Books,26.1,23.0,4.7,2.43,94
Jacket 0815,CLO-0815,Clothing,49.5,44.1,8.6,0.78,108
Jeans 0816,CLO-0816,Clothing,38.6,32.1,3.0,0.53,43
Paperback Book 0817,BOO-0817,Books,19.8,17.0,2.6,0.34,82
Shoes 0818,CLO-0818,Clothing,30.4,23.8,10.0,0.7,85
Power Bank 0819,ELE-0819,Electronics,12.1,7.7,2.2,0.46,179
Webcam 0820,ELE-0820,Electronics,9.8,5.9,6.9,0.21,94
Socks 0821,CLO-0821,Clothing,20.6,12.0,2.8,0.06,54
Picture Frame 0822,FRA-0822,Fragile,38.9,15.4,2.6,1.23,56
USB Cable 0823,ELE-0823,Electronics,22.8,14.0,3.5,0.29,531
Monitor 0824,ELE-0824,Electronics,50.4,46.5,6.3,3.63,44
Jeans 0825,CLO-0825,Clothing,31.1,25.3,3.5,0.66,87
Ceramic Mug 0826,FRA-0826,Fragile,11.4,12.7,14.4,0.34,96
Socks 0827,CLO-0827,Clothing,19.7,12.3,3.1,0.1,51
Magazine 0828,BOO-0828,Books,33.8,20.6,0.7,0.45,100
Jacket 0829,CLO-0829,Clothing,53.0,44.0,7.5,0.7,109
Textbook 0830,BOO-0830,Books,29.2,24.0,4.5,1.15,176
Mouse 0831,ELE-0831,Electronics,11.6,9.1,3.2,0.11,1196
Mouse 0832,ELE-0832,Electronics,11.1,8.7,4.8,0.24,967
Textbook 0833,BOO-0833,Books,27.7,21.5,3.3,1.83,109
Power Bank 0834,ELE-0834,Electronics,16.4,6.2,2.0,0.46,52
Magazine 0835,BOO-0835,Books,35.0,24.0,0.8,0.31,100
Picture Frame 0836,FRA-0836,Fragile,25.3,16.2,4.7,0.63,44
Webcam 0837,ELE-0837,Electronics,11.9,5.5,6.6,0.36,96
Webcam 0838,ELE-0838,Electronics,11.1,8.0,8.0,0.44,172
USB Cable 0839,ELE-0839,Electronics,20.4,10.2,3.6,0.19,113
Jacket 0840,CLO-0840,Clothing,45.6,44.0,5.3,0.76,82
Textbook 0841,BOO-0841,Books,31.4,24.8,5.9,1.79,94
Puzzle 0842,TOY-0842,Toys,42.6,27.7,5.7,0.51,199
Board Game 0843,TOY-0843,Toys,32.0,32.8,6.2,0.7,162
T-Shirt 0844,CLO-0844,Clothing,25.9,28.5,3.2,0.18,49
Monitor 0845,ELE-0845,Electronics,60.9,31.4,9.0,7.03,92
Monitor 0846,ELE-0846,Electronics,65.4,41.5,6.1,3.41,54
Monitor 0847,ELE-0847,Electronics,51.8,45.0,8.1,5.92,112
SSD Drive 0848,ELE-0848,Electronics,12.3,8.7,1.1,0.14,110
Paperback Book 0849,BOO-0849,Books,18.1,12.6,2.5,0.52,58
Socks 0850,CLO-0850,Clothing,22.9,10.5,2.4,0.08,111
Textbook 0851,BOO-0851,Books,29.2,23.7,4.4,1.26,813
Board Game 0852,TOY-0852,Toys,39.0,29.2,5.4,1.48,893
Board Game 0853,TOY-0853,Toys,27.3,32.5,5.6,0.73,80
Keyboard 0854,ELE-0854,Electronics,48.8,13.9,3.8,0.7,120
Headphones 0855,ELE-0855,Electronics,18.8,17.7,8.8,0.37,112
Hardcover Book 0856,BOO-0856,Books,20.4,19.9,4.6,1.09,49
Ceramic Mug 0857,FRA-0857,Fragile,14.2,11.5,12.4,0.38,49
Jacket 0858,CLO-0858,Clothing,52.5,44.2,9.5,1.16,89
Ceramic Mug 0859,FRA-0859,Fragile,14.7,14.6,12.2,0.37,55
Textbook 0860,BOO-0860,Books,25.0,25.8,5.6,2.36,235
Stuffed Animal 0861,TOY-0861,Toys,36.1,28.5,23.0,0.26,415
Jacket 0862,CLO-0862,Clothing,52.4,42.0,9.6,1.1,170
Paperback Book 0863,BOO-0863,Books,24.5,14.9,1.0,0.59,114
Board Game 0864,TOY-0864,Toys,31.5,29.4,8.4,0.62,99
USB Cable 0865,ELE-0865,Electronics,18.1,13.4,3.1,0.14,99
Puzzle 0866,TOY-0866,Toys,33.8,24.1,5.7,0.42,83
Headphones 0867,ELE-0867,Electronics,19.2,16.0,8.5,0.47,84
Textbook 0868,BOO-0868,Books,32.0,20.2,4.7,1.66,460
Paperback Book 0869,BOO-0869,Books,20.4,17.4,1.4,0.26,41
SSD Drive 0870,ELE-0870,Electronics,12.4,7.7,1.9,0.12,199
Ceramic Mug 0871,FRA-0871,Fragile,13.0,14.7,11.0,0.45,60
Action Figure 0872,TOY-0872,Toys,22.9,16.2,8.3,0.32,216
Board Game 0873,TOY-0873,Toys,38.7,31.8,6.8,1.22,90
Phone Case 0874,ELE-0874,Electronics,17.6,11.2,1.6,0.08,118
T-Shirt 0875,CLO-0875,Clothing,33.5,28.2,2.7,0.16,81
Mouse 0876,ELE-0876,Electronics,14.4,8.7,3.1,0.25,102
T-Shirt 0877,CLO-0877,Clothing,32.7,21.1,3.8,0.25,47
Jacket 0878,CLO-0878,Clothing,40.3,39.6,9.0,0.79,220
Laptop 0879,ELE-0879,Electronics,30.3,25.6,2.5,1.52,206
Paperback Book 0880,BOO-0880,Books,23.3,17.8,1.9,0.53,108
T-Shirt 0881,CLO-0881,Clothing,27.3,26.0,2.1,0.2,190
Hardcover Book 0882,BOO-0882,Books,27.0,18.3,3.3,1.43,54
Picture Frame 0883,FRA-0883,Fragile,37.8,29.5,4.0,0.92,203
Glass Vase 0884,FRA-0884,Fragile,15.3,19.0,34.0,0.7,86
Board Game 0885,TOY-0885,Toys,36.8,36.7,9.5,0.86,101
Monitor 0886,ELE-0886,Electronics,69.9,33.5,6.6,4.34,113
USB Cable 0887,ELE-0887,Electronics,17.2,13.4,3.7,0.26,101
Magazine 0888,BOO-0888,Books,31.4,20.0,0.9,0.31,96
Textbook 0889,BOO-0889,Books,30.8,24.1,3.8,2.11,202
Power Bank 0890,ELE-0890,Electronics,15.3,8.0,3.7,0.3,43
Headphones 0891,ELE-0891,Electronics,21.2,18.1,9.9,0.32,226
Laptop 0892,ELE-0892,Electronics,31.9,20.9,3.9,1.68,213
Jacket 0893,CLO-0893,Clothing,50.8,46.0,7.4,1.2,97
Puzzle 0894,TOY-0894,Toys,37.9,22.9,3.7,0.85,183
Mouse 0895,ELE-0895,Electronics,13.7,7.1,4.8,0.14,41
Laptop 0896,ELE-0896,Electronics,38.3,21.4,3.6,1.51,211
Keyboard 0897,ELE-0897,Electronics,41.1,13.4,2.9,0.75,85
Puzzle 0898,TOY-0898,Toys,30.9,26.5,4.6,0.93,190
SSD Drive 0899,ELE-0899,Electronics,11.5,8.1,2.7,0.19,45
Power Bank 0900,ELE-0900,Electronics,14.3,8.2,2.1,0.33,175
Laptop 0901,ELE-0901,Electronics,33.3,29.7,2.0,2.07,597
Ceramic Mug 0902,FRA-0902,Fragile,12.5,13.0,14.2,0.51,82
Headphones 0903,ELE-0903,Electronics,19.5,15.4,7.0,0.26,114
Headphones 0904,ELE-0904,Electronics,24.7,19.7,7.5,0.43,512
Puzzle 0905,TOY-0905,Toys,43.4,24.1,4.9,0.75,54
Glass Vase 0906,FRA-0906,Fragile,24.6,17.0,20.6,1.08,86
Ceramic Mug 0907,FRA-0907,Fragile,10.5,10.6,11.9,0.55,87
Paperback Book 0908,BOO-0908,Books,21.8,15.6,2.6,0.25,43
Ceramic Mug 0909,FRA-0909,Fragile,10.8,12.6,11.8,0.48,85
Shoes 0910,CLO-0910,Clothing,26.4,22.8,10.9,0.61,46
Board Game 0911,TOY-0911,Toys,36.2,35.7,8.6,0.75,42
Textbook 0912,BOO-0912,Books,34.1,21.4,4.5,2.11,912
Ceramic Mug 0913,FRA-0913,Fragile,11.0,13.3,13.2,0.43,459
Monitor 0914,ELE-0914,Electronics,58.0,32.6,9.9,5.24,217
Shoes 0915,CLO-0915,Clothing,30.0,21.5,10.7,0.7,231
Jacket 0916,CLO-0916,Clothing,54.5,35.2,6.9,0.61,238
Puzzle 0917,TOY-0917,Toys,42.1,34.6,3.9,0.95,58
Webcam 0918,ELE-0918,Electronics,10.5,7.3,6.3,0.37,93
Keyboard 0919,ELE-0919,Electronics,41.6,17.0,3.6,0.56,90
Hardcover Book 0920,BOO-0920,Books,28.4,21.6,4.4,1.13,101
Webcam 0921,ELE-0921,Electronics,8.9,5.7,6.2,0.28,91
USB Cable 0922,ELE-0922,Electronics,16.6,13.8,4.0,0.19,80
Shoes 0923,CLO-0923,Clothing,33.3,18.4,11.6,0.69,49
Monitor 0924,ELE-0924,Electronics,56.1,37.8,8.4,7.25,210
Board Game 0925,TOY-0925,Toys,25.2,38.1,8.0,1.45,45
Paperback Book 0926,BOO-0926,Books,19.2,17.3,2.8,0.55,119
Jacket 0927,CLO-0927,Clothing,52.1,38.2,7.8,0.73,117
Jacket 0928,CLO-0928,Clothing,41.3,47.8,6.6,0.8,116
Paperback Book 0929,BOO-0929,Books,20.1,12.8,1.1,0.4,40
Board Game 0930,TOY-0930,Toys,30.8,26.2,8.8,0.51,44
Monitor 0931,ELE-0931,Electronics,56.0,32.3,5.6,7.48,46
Socks 0932,CLO-0932,Clothing,19.8,11.6,2.7,0.1,805
Action Figure 0933,TOY-0933,Toys,21.9,15.3,7.8,0.17,49
Mouse 0934,ELE-0934,Electronics,14.1,6.8,3.9,0.11,113
Hardcover Book 0935,BOO-0935,Books,22.5,20.4,4.1,0.89,198
Glass Vase 0936,FRA-0936,Fragile,18.8,22.7,29.8,1.08,202
Webcam 0937,ELE-0937,Electronics,9.7,7.8,5.5,0.24,52
Phone Case 0938,ELE-0938,Electronics,17.3,10.4,1.1,0.08,83
Webcam 0939,ELE-0939,Electronics,10.5,5.8,7.9,0.46,98
Picture Frame 0940,FRA-0940,Fragile,26.5,28.4,3.5,0.62,199
SSD Drive 0941,ELE-0941,Electronics,11.5,7.5,1.9,0.15,48
Ceramic Mug 0942,FRA-0942,Fragile,13.4,13.4,13.5,0.58,110
Stuffed Animal 0943,TOY-0943,Toys,35.9,27.5,29.9,0.72,50
USB Cable 0944,ELE-0944,Electronics,17.5,11.0,2.5,0.29,199
Picture Frame 0945,FRA-0945,Fragile,37.9,22.9,3.8,0.92,107
Ceramic Mug 0946,FRA-0946,Fragile,11.8,10.9,12.6,0.32,43
Monitor 0947,ELE-0947,Electronics,60.2,30.3,6.4,6.55,457
Puzzle 0948,TOY-0948,Toys,37.3,32.9,4.1,0.97,108
USB Cable 0949,ELE-0949,Electronics,15.6,11.4,3.3,0.2,44
Socks 0950,CLO-0950,Clothing,17.9,10.4,2.5,0.05,55
Laptop 0951,ELE-0951,Electronics,32.4,20.2,4.4,2.83,43
T-Shirt 0952,CLO-0952,Clothing,32.1,28.6,4.5,0.25,111
Mouse 0953,ELE-0953,Electronics,12.3,7.6,4.0,0.25,211
Paperback Book 0954,BOO-0954,Books,19.7,15.4,1.2,0.29,239
Webcam 0955,ELE-0955,Electronics,10.3,6.2,6.9,0.48,196
Glass Vase 0956,FRA-0956,Fragile,15.1,18.5,28.3,1.45,217
T-Shirt 0957,CLO-0957,Clothing,30.5,25.9,2.8,0.27,42
Jacket 0958,CLO-0958,Clothing,45.7,41.7,7.5,0.95,182
T-Shirt 0959,CLO-0959,Clothing,25.2,20.1,2.5,0.15,193
Monitor 0960,ELE-0960,Electronics,55.9,42.4,6.7,6.5,59
Laptop 0961,ELE-0961,Electronics,37.2,29.6,4.1,2.47,101
T-Shirt 0962,CLO-0962,Clothing,32.1,22.3,4.2,0.29,219
Glass Vase 0963,FRA-0963,Fragile,22.2,19.1,29.4,0.62,192
Glass Vase 0964,FRA-0964,Fragile,19.6,15.3,28.1,1.13,102
Paperback Book 0965,BOO-0965,Books,19.3,17.1,1.6,0.26,412
Mouse 0966,ELE-0966,Electronics,14.0,8.4,3.8,0.27,56
Jacket 0967,CLO-0967,Clothing,53.1,48.8,6.6,0.99,44
Socks 0968,CLO-0968,Clothing,21.2,12.1,4.0,0.06,56
Mouse 0969,ELE-0969,Electronics,13.8,7.5,3.2,0.21,44
Textbook 0970,BOO-0970,Books,27.7,26.8,3.5,1.29,56
Power Bank 0971,ELE-0971,Electronics,14.4,6.3,3.7,0.33,40
Paperback Book 0972,BOO-0972,Books,18.4,14.7,1.6,0.21,195
Glass Vase 0973,FRA-0973,Fragile,21.6,20.1,25.9,0.59,106
Picture Frame 0974,FRA-0974,Fragile,37.1,28.5,3.6,1.21,40
Ceramic Mug 0975,FRA-0975,Fragile,10.2,14.1,10.6,0.38,586
Headphones 0976,ELE-0976,Electronics,18.0,16.0,7.2,0.31,52
Glass Vase 0977,FRA-0977,Fragile,18.0,17.9,22.8,0.62,52
SSD Drive 0978,ELE-0978,Electronics,11.2,7.0,1.5,0.16,472
Magazine 0979,BOO-0979,Books,26.3,22.1,1.2,0.36,43
Glass Vase 0980,FRA-0980,Fragile,15.1,19.7,21.8,0.5,102
Hardcover Book 0981,BOO-0981,Books,21.2,24.7,3.8,0.55,103
Monitor 0982,ELE-0982,Electronics,65.5,36.2,7.6,6.53,100
Power Bank 0983,ELE-0983,Electronics,12.2,7.8,3.3,0.57,227
Stuffed Animal 0984,TOY-0984,Toys,20.9,22.4,16.6,0.57,87
Textbook 0985,BOO-0985,Books,34.1,21.9,3.3,1.54,95
Keyboard 0986,ELE-0986,Electronics,47.5,15.1,4.0,0.84,45
Puzzle 0987,TOY-0987,Toys,31.9,27.6,4.7,0.57,40
Mouse 0988,ELE-0988,Electronics,14.8,6.4,4.7,0.14,80
Textbook 0989,BOO-0989,Books,26.4,23.7,3.9,1.32,202
Headphones 0990,ELE-0990,Electronics,23.9,21.3,6.3,0.24,81
Picture Frame 0991,FRA-0991,Fragile,22.9,18.3,2.5,0.55,86
Keyboard 0992,ELE-0992,Electronics,46.8,13.1,2.1,0.73,100
Puzzle 0993,TOY-0993,Toys,40.2,30.6,5.3,0.45,178
USB Cable 0994,ELE-0994,Electronics,22.0,14.5,3.5,0.23,55
Magazine 0995,BOO-0995,Books,33.2,25.2,1.5,0.28,51
Socks 0996,CLO-0996,Clothing,19.9,14.9,4.0,0.09,235
Power Bank 0997,ELE-0997,Electronics,14.9,7.8,2.4,0.34,454
Socks 0998,CLO-0998,Clothing,21.6,12.4,2.7,0.12,55
Laptop 0999,ELE-0999,Electronics,36.7,22.3,3.4,2.17,851
Socks 1000,CLO-1000,Clothing,15.3,13.9,2.3,0.05,45
